label,dataset,domain,measure_class,Structure,canonical_structure,Measure,Unit,structure_qualifier,structure_source,is_measurement,note,poolable_group
Weaning_period_days,EvoM1 traits,life history,life_history,,,Weaning.days,days,,,True,Superseded by Weaning_age (days). Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Weight_at_birth_g,EvoM1 traits,life history,life_history,Body,Body,Mass.g,g,,_keys/anatomy_reference.csv,True,Neonatal body mass. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Weight_at_weaning_g,EvoM1 traits,life history,life_history,Body,Body,Mass.g,g,,_keys/anatomy_reference.csv,True,Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Neurogenic_period_days,EvoM1 traits,life history,neurodevelopment,,,NeurogenicPeriod.days,days,,,True,Duration of cortical neurogenesis. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
Basal_metabolic_rate,EvoM1 traits,metabolism,metabolic (body),Body,Body,BMR.wholeanimal,mL O2/h,,_keys/anatomy_reference.csv,True,Superseded by BMR_wholeanimal in the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.,
BMR_massspecific (mL O2/h/g),Body & ecology,metabolism,metabolic (body),,,BMR_massspecific,mL O2/h/g,,,True,Merge-file row: measure_class reused verbatim from the merge.,
BMR_wholeanimal (mL O2/h),Body & ecology,metabolism,metabolic (body),,,BMR_wholeanimal,mL O2/h,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Duty_Factor (percent),Behaviour,sensorimotor & motor pathways,gait,,,Duty_Factor,percent,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Foot_Posture (category),Behaviour,sensorimotor & motor pathways,gait,,,Foot_Posture,category,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Gait (category),Behaviour,sensorimotor & motor pathways,gait,,,Gait,category,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Phase (percent),Behaviour,sensorimotor & motor pathways,gait,,,Phase,percent,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Arboreal_terrestrial (category),Behaviour,sensorimotor & motor pathways,locomotion,,,Arboreal_terrestrial,category,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Intermembral_index (ratio),Behaviour,sensorimotor & motor pathways,locomotion,,,Intermembral_index,ratio,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Locomotor_diversity_index (index),Behaviour,sensorimotor & motor pathways,locomotion,,,Locomotor_diversity_index,index,,,True,Merge-file row: measure_class reused verbatim from the merge.,
Area of tract mmˆ2,EvoM1 traits,sensorimotor & motor pathways,motor_pathway,CorticospinalTract,CorticospinalTract,Area.mm2,mm2,,_keys/variable_catalog.csv:Heffner_Masterton_1975,True,Cross-sectional area of the corticospinal (pyramidal) tract. Source table: ____EvoM1_TraitTable/dexterity_corticospinaltract.xlsx — Heffner & Masterton 1975 corticospinal-tract table.,
Average fiber size x 10ˆ5 K,EvoM1 traits,sensorimotor & motor pathways,motor_pathway,CorticospinalTract,CorticospinalTract,FiberDiameter.um,um x 1e5,,_keys/variable_catalog.csv:Heffner_Masterton_1975,True,"Printed as ""Average fiber size x 10^5 K""; the printed scaling factor is carried unchanged and has NOT been back-transformed. Source table: ____EvoM1_TraitTable/dexterity_corticospinaltract.xlsx — Heffner & Masterton 1975 corticospinal-tract table.",
CM_connection_inference (category),Behaviour,sensorimotor & motor pathways,motor_pathway,spinal cord / M1 output,spinal cord / M1 output,CM_connection_inference,category,,_keys/variable_catalog.csv:Bortoff_Strick_1993,True,Merge-file row: measure_class reused verbatim from the merge.,
CST_termination_grade (ordinal 0-2),Behaviour,sensorimotor & motor pathways,motor_pathway,spinal cord / M1 output,spinal cord / M1 output,CST_termination_grade,ordinal 0-2,,_keys/variable_catalog.csv:Bortoff_Strick_1993,True,Merge-file row: measure_class reused verbatim from the merge.,
Depth,EvoM1 traits,sensorimotor & motor pathways,motor_pathway,SpinalCord,SpinalCord,CSTPenetrationDepth,ordinal,,_keys/anatomy_reference.csv,True,Iwaniuk et al. 1999 corticospinal penetration depth. Source table: ____EvoM1_TraitTable/corticospinaltract_etc.xlsx — Iwaniuk et al. 1999 corticospinal-tract & ecology table.,
Lamina of axon terminals deepest,EvoM1 traits,sensorimotor & motor pathways,motor_pathway,SpinalCord,SpinalCord,CSTTerminalLamina,ordinal,,_keys/anatomy_reference.csv,True,Deepest spinal grey lamina reached by corticospinal terminals. Source table: ____EvoM1_TraitTable/dexterity_corticospinaltract.xlsx — Heffner & Masterton 1975 corticospinal-tract table.,
Lamina of axon terminals densest,EvoM1 traits,sensorimotor & motor pathways,motor_pathway,SpinalCord,SpinalCord,CSTTerminalLamina,ordinal,,_keys/anatomy_reference.csv,True,Lamina of densest corticospinal termination. Source table: ____EvoM1_TraitTable/dexterity_corticospinaltract.xlsx — Heffner & Masterton 1975 corticospinal-tract table.,
Largest fiber diameter µm,EvoM1 traits,sensorimotor & motor pathways,motor_pathway,CorticospinalTract,CorticospinalTract,FiberDiameter.um,um,,_keys/variable_catalog.csv:Heffner_Masterton_1975,True,Largest corticospinal fibre diameter. Source table: ____EvoM1_TraitTable/dexterity_corticospinaltract.xlsx — Heffner & Masterton 1975 corticospinal-tract table.,
Length,EvoM1 traits,sensorimotor & motor pathways,motor_pathway,SpinalCord,SpinalCord,CSTLength,as printed,,_keys/anatomy_reference.csv,True,Iwaniuk et al. 1999; the unit is not stated in the source table. Source table: ____EvoM1_TraitTable/corticospinaltract_etc.xlsx — Iwaniuk et al. 1999 corticospinal-tract & ecology table.,
Number of fibers per tract,EvoM1 traits,sensorimotor & motor pathways,motor_pathway,CorticospinalTract,CorticospinalTract,FiberCount,count,,_keys/variable_catalog.csv:Heffner_Masterton_1975,True,Number of fibres in the pyramidal (corticospinal) tract. Source table: ____EvoM1_TraitTable/dexterity_corticospinaltract.xlsx — Heffner & Masterton 1975 corticospinal-tract table.,
Penetration down spinal cord,EvoM1 traits,sensorimotor & motor pathways,motor_pathway,SpinalCord,SpinalCord,CSTPenetration,category,,_keys/anatomy_reference.csv,True,How far corticospinal axons descend the spinal cord. Source table: ____EvoM1_TraitTable/dexterity_corticospinaltract.xlsx — Heffner & Masterton 1975 corticospinal-tract table.,
REM_sleep_pct,EvoM1 traits,sleep & torpor,sleep,,,REMSleep.pct,%,,,True,REM sleep as a percentage of sleep time. Source table: ____EvoM1_TraitTable/sleep.xlsx — Eagleman & Vaughn 2021 / Herculano-Houzel 2015 / Ruf & Geiser 2015 / Lyamin et al. 2008 sleep & torpor table.,
Sleep_h_day,EvoM1 traits,sleep & torpor,sleep,,,TotalSleepTime.h,h/day,,,True,Total sleep time per 24 h. Source table: ____EvoM1_TraitTable/sleep.xlsx — Eagleman & Vaughn 2021 / Herculano-Houzel 2015 / Ruf & Geiser 2015 / Lyamin et al. 2008 sleep & torpor table.,
SWS_total_pct,EvoM1 traits,sleep & torpor,sleep,,,SWSTotal.pct,%,,,True,Total slow-wave sleep as a percentage. Source table: ____EvoM1_TraitTable/sleep.xlsx — Eagleman & Vaughn 2021 / Herculano-Houzel 2015 / Ruf & Geiser 2015 / Lyamin et al. 2008 sleep & torpor table.,
USWS_pctTST,EvoM1 traits,sleep & torpor,sleep,,,USWS.pctTST,%,,,True,Unihemispheric SWS as a percentage of total sleep time (Lyamin et al. 2008). Source table: ____EvoM1_TraitTable/sleep.xlsx — Eagleman & Vaughn 2021 / Herculano-Houzel 2015 / Ruf & Geiser 2015 / Lyamin et al. 2008 sleep & torpor table.,
Torpor_bout_max_h,EvoM1 traits,sleep & torpor,torpor,,,TorporBoutMax.h,h,,,True,Maximum torpor bout duration — Ruf & Geiser 2015 column TBDmax. Source table: ____EvoM1_TraitTable/sleep.xlsx — Eagleman & Vaughn 2021 / Herculano-Houzel 2015 / Ruf & Geiser 2015 / Lyamin et al. 2008 sleep & torpor table.,
Torpor_Tb_min_C,EvoM1 traits,sleep & torpor,torpor,,,TorporTbMin.C,C,,,True,"Minimum torpor body temperature — Ruf & Geiser 2015 column ""Tb min"". Source table: ____EvoM1_TraitTable/sleep.xlsx — Eagleman & Vaughn 2021 / Herculano-Houzel 2015 / Ruf & Geiser 2015 / Lyamin et al. 2008 sleep & torpor table.",
Torpor_type,EvoM1 traits,sleep & torpor,torpor,,,TorporType,category,,,True,DT (daily torpor) or HIB (hibernation) — Ruf & Geiser 2015 column T. Source table: ____EvoM1_TraitTable/sleep.xlsx — Eagleman & Vaughn 2021 / Herculano-Houzel 2015 / Ruf & Geiser 2015 / Lyamin et al. 2008 sleep & torpor table.,
Whole_brain_CBF (mL/100g/min),Cerebral metabolic rate,metabolism,cerebral_perfusion,Whole_brain,WholeBrain,CBF.mL/100g/min,mL/100g/min,,_keys/anatomy_reference.csv,True,Cerebral blood flow (perfusion). Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Whole_brain_CMRO2 (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Whole_brain,WholeBrain,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for oxygen. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Whole_brain_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Whole_brain,WholeBrain,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Whole_brain_Total_O2_consumption (mL/min),Cerebral metabolic rate,metabolism,cerebral_absolute_rate,Whole_brain,WholeBrain,Rate.mL/min,mL/min,,_keys/anatomy_reference.csv,True,"Whole-brain total oxygen consumption. Absolute whole-brain quantity as printed by Karbowski (2007) = that paper's own mass-specific rate x brain mass; DERIVED, not an independent measurement, and not poolable with the per-100 g rates.",
Whole_brain_Total_glucose_utilization (umol/min),Cerebral metabolic rate,metabolism,cerebral_absolute_rate,Whole_brain,WholeBrain,Rate.umol/min,umol/min,,_keys/anatomy_reference.csv,True,"Whole-brain total glucose utilization. Absolute whole-brain quantity as printed by Karbowski (2007) = that paper's own mass-specific rate x brain mass; DERIVED, not an independent measurement, and not poolable with the per-100 g rates.",
Amygdala_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Amygdala,Amygdala,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Basal_ganglia_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Basal_ganglia,Basal_ganglia,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Brain_stem_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Brain_stem,Brain_stem,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Caudate_nucleus_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Caudate_nucleus,Caudate_nucleus,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Cerebellum_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Cerebellum,Cerebellum,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Cingulate_cortex_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Cingulate_cortex,Cingulate_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Frontal_cortex_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Frontal_cortex,Frontal_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Hippocampus_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Hippocampus,Hippocampus,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Hypothalamus_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Hypothalamus,Hypothalamus,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Neocortex_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Neocortex,Neocortex,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Occipital_cortex_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Occipital_cortex,Occipital_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Pallidum_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Pallidum,Pallidum,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Parietal_cortex_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Parietal_cortex,Parietal_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Sensorimotor_cortex_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Sensorimotor_cortex,Sensorimotor_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Septum_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Septum,Septum,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Substantia_nigra_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Substantia_nigra,Substantia_nigra,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Temporal_cortex_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Temporal_cortex,Temporal_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Thalamus_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Thalamus,Thalamus,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Visual_cortex_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Visual_cortex,Visual_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
White_matter_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,White_matter,White_matter,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Auditory_cortex_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Auditory_cortex,Auditory_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Basal_forebrain_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Basal_forebrain,Basal_forebrain,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Basal_ganglia_CBF (mL/100g/min),Cerebral metabolic rate,metabolism,cerebral_perfusion,Basal_ganglia,Basal_ganglia,CBF.mL/100g/min,mL/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral blood flow (perfusion). Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Basal_ganglia_CMRO2 (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Basal_ganglia,Basal_ganglia,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for oxygen. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Capsula_interna_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Capsula_interna,Capsula_interna,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Centrum_semiovale_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Centrum_semiovale,Centrum_semiovale,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Cerebellar_cortex_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Cerebellar_cortex,Cerebellar_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Cerebellum_CBF (mL/100g/min),Cerebral metabolic rate,metabolism,cerebral_perfusion,Cerebellum,Cerebellum,CBF.mL/100g/min,mL/100g/min,,_keys/anatomy_reference.csv,True,Cerebral blood flow (perfusion). Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Cerebellum_CMRO2 (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Cerebellum,Cerebellum,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for oxygen. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Colliculus_inferior_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Colliculus_inferior,Colliculus_inferior,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Colliculus_superior_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Colliculus_superior,Colliculus_superior,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Corpus_geniculatum_laterale_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Corpus_geniculatum_laterale,Corpus_geniculatum_laterale,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Corpus_geniculatum_mediale_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Corpus_geniculatum_mediale,Corpus_geniculatum_mediale,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Frontal_cortex_CMRO2 (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Frontal_cortex,Frontal_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for oxygen. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Hippocampus_CBF (mL/100g/min),Cerebral metabolic rate,metabolism,cerebral_perfusion,Hippocampus,Hippocampus,CBF.mL/100g/min,mL/100g/min,,_keys/anatomy_reference.csv,True,Cerebral blood flow (perfusion). Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Hippocampus_CMRO2 (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Hippocampus,Hippocampus,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for oxygen. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Insula_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Insula,Insula,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Neocortex_CBF (mL/100g/min),Cerebral metabolic rate,metabolism,cerebral_perfusion,Neocortex,Neocortex,CBF.mL/100g/min,mL/100g/min,,_keys/anatomy_reference.csv,True,Cerebral blood flow (perfusion). Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Neocortex_CMRO2 (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Neocortex,Neocortex,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for oxygen. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Nucleus_accumbens_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Nucleus_accumbens,Nucleus_accumbens,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Nucleus_dentatus_cerebelli_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Nucleus_dentatus_cerebelli,Nucleus_dentatus_cerebelli,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Nucleus_ruber_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Nucleus_ruber,Nucleus_ruber,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Nucleus_subthalamicus_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Nucleus_subthalamicus,Nucleus_subthalamicus,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Occipital_cortex_CMRO2 (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Occipital_cortex,Occipital_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for oxygen. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Parietal_cortex_CMRO2 (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Parietal_cortex,Parietal_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for oxygen. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Prefrontal_cortex_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Prefrontal_cortex,Prefrontal_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Putamen_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Putamen,Putamen,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Sensorimotor_cortex_CMRO2 (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Sensorimotor_cortex,Sensorimotor_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for oxygen. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Temporal_cortex_CMRO2 (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Temporal_cortex,Temporal_cortex,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for oxygen. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Thalamus_CBF (mL/100g/min),Cerebral metabolic rate,metabolism,cerebral_perfusion,Thalamus,Thalamus,CBF.mL/100g/min,mL/100g/min,,_keys/anatomy_reference.csv,True,Cerebral blood flow (perfusion). Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Thalamus_CMRO2 (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Thalamus,Thalamus,CMR.umol/100g/min,umol/100g/min,,_keys/anatomy_reference.csv,True,Cerebral metabolic rate for oxygen. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
Thalamus_medial_nucleus_CMRgl (umol/100g/min),Cerebral metabolic rate,metabolism,cerebral_metabolic_rate,Thalamus_medial_nucleus,Thalamus_medial_nucleus,CMR.umol/100g/min,umol/100g/min,,__merging_cerebral_metabolic_rate (region crosswalk),True,Cerebral metabolic rate for glucose. Mass-specific rate; pooled across distinct primary studies after removing studies reported by more than one compilation.,
