canonical_specimen,record_type,specimen_kind,access_class,evidence_source_ids,specimen_name,primary_identifier,alternate_identifiers,collection,source_publication,item_reference,printed_name,published_taxon,resolved_taxon,taxon_concept,taxon_conflict,match,sex,note
ZILLES-HOMO-SN382-81,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,SN382/81,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Homo sapiens (SN382/81),Homo sapiens,Homo sapiens,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-71-84,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,71/84,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Homo sapiens (71/84),Homo sapiens,Homo sapiens,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-14-94,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,14/94,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Homo sapiens (14/94),Homo sapiens,Homo sapiens,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-146-86,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,146/86,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Homo sapiens (146/86),Homo sapiens,Homo sapiens,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-SN201-86,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,SN201/86,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Homo sapiens (SN201/86),Homo sapiens,Homo sapiens,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-503-81,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,503/81,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Homo sapiens (503/81),Homo sapiens,Homo sapiens,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
STEPHAN-GORILLA-A375,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,A375,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Gorilla gorilla (A375),Gorilla gorilla,Gorilla gorilla,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-GORILLA-1001,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,1001,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Gorilla gorilla (1001),Gorilla gorilla,Gorilla gorilla,,FALSE,matched,,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
ZILLES-GORILLA-YN82-140,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,YN82-140,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Gorilla gorilla (YN82-140),Gorilla gorilla,Gorilla gorilla,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
ZILLES-PANPAN-YN86-137,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,YN86-137,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Pan paniscus (YN86-137),Pan paniscus,Pan paniscus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
ZILLES-PANPAN-ZAHLIA,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Zahlia 1/97,Zahlia 1/97,ZAHLIA/97,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Pan paniscus (Zahlia 1/97),Pan paniscus,Pan paniscus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
ZILLES-PAN-YN89-278,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,YN89-278,YN-YERKES,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Pan troglodytes (YN89-278),Pan troglodytes,Pan troglodytes,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
ZILLES-PAN-1548,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,1548,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Pan troglodytes (1548),Pan troglodytes,Pan troglodytes,,FALSE,matched,,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
ZILLES-PAN-PAN1,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,PAN 1,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Pan troglodytes (PAN 1),Pan troglodytes,Pan troglodytes,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
ZILLES-PAN-WPZ-486,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Bathsheba 4/97,Bathsheba 4/97,WPZ-486,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Pan troglodytes (Bathsheba 4/97),Pan troglodytes,Pan troglodytes,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-PANTRO-SCHIMPANSE-280,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Schimpanse 280,Schimpanse 280,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Pan troglodytes (Schimpanse 280),Pan troglodytes,Pan troglodytes,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-PANTRO-SCHIMPANSE-278,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Schimpanse 278,Schimpanse 278,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Pan troglodytes (Schimpanse 278),Pan troglodytes,Pan troglodytes,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-PANTRO-SCHIMPANSE-A269,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,Schimpanse A269,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Pan troglodytes (Schimpanse A269),Pan troglodytes,Pan troglodytes,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
PONGO-0475,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,0475,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Pongo pygmaeus (0475),Pongo pygmaeus,Pongo pygmaeus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
PONGO-YN85-38,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,YN85-38,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Pongo pygmaeus (YN85-38),Pongo pygmaeus,Pongo pygmaeus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
PONGO-HARRY,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Harry 2/97,Harry 2/97,OY 1148,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Pongo pygmaeus (Harry 2/97),Pongo pygmaeus,Pongo pygmaeus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
PONGO-BRIGGS,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Briggs 5/97,Briggs 5/97,OHDZ,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Pongo pygmaeus (Briggs 5/97),Pongo pygmaeus,Pongo pygmaeus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
ZILLES-HYLOBATES-YN81-146,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,YN81-146,732-1,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Hylobates lar (YN81-146),Hylobates lar,Hylobates lar,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HYLOBATES-LH,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,LH,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Hylobates lar (2436) (LH),Hylobates lar,Hylobates lar,,FALSE,matched,,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HYLOBATES-1547,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,1547,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Hylobates lar (1547),Hylobates lar,Hylobates lar,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HYLOBATES-1203,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,1203,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Hylobates lar (1203),Hylobates lar,Hylobates lar,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-ERYTHROCEBUS-1545,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,1545,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Erythrocebus patas (1545),Erythrocebus patas,Erythrocebus patas,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-MACACA-RHESUS-516,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,Rhesus 516,Rhesus 516,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Macaca mulatta (Rhesus 516),Macaca mulatta,Macaca mulatta,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-MACACA-RHESUS-R4,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,Rhesus R4,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Macaca mulatta (Rhesus R4),Macaca mulatta,Macaca mulatta,,FALSE,matched,,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-CERCOPITHECUS-S,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,S,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Cercopithecus sp. (S),Cercopithecus sp.,,,FALSE,matched,,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-CERCOPITHECUS-CER,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,CER,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Cercopithecus sp. (CER),Cercopithecus sp.,,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-CERCALB-A221,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,A221,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Cercocebus albigena (A221),Cercocebus albigena,Cercocebus albigena,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-PAPIO-P3,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,P3,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Papio cynocephalus (P3),Papio cynocephalus,Papio cynocephalus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-PAPIO-P4,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,P4,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Papio cynocephalus (P4),Papio cynocephalus,Papio cynocephalus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-ATELES-2412,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,2412,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Ateles paniscus (2412),Ateles paniscus,Ateles paniscus,,FALSE,matched,,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-ATELES-1541,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,1541,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Ateles paniscus (1541),Ateles paniscus,Ateles paniscus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-ATELES-1538,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,1538,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Ateles paniscus (1538),Ateles paniscus,Ateles paniscus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-ALOUSEN-1961-8,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,1961/8,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Alouatta seniculus (1961/8),Alouatta seniculus,Alouatta seniculus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-ALOUSEN-1961-9,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,1961/9,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Alouatta seniculus (1961/9),Alouatta seniculus,Alouatta seniculus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-CEBUSP-CEBUS-SP-1-LH-RH-CORONAL,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,Cebus sp. 1 LH RH coronal,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Cebus sp. 1 LH RH coronal,Cebus sp.,,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-CEBUSP-CEBUS-SP-5,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,Cebus sp. 5,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Cebus sp. 5,Cebus sp.,,,FALSE,matched,,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-SAIMIRI-1064,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,1064,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Saimiri sciureus (1064),Saimiri sciureus,Saimiri sciureus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-SAIMIRI-2408,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,2408,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Saimiri sciureus (2408),Saimiri sciureus,Saimiri sciureus,,FALSE,matched,M,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-AOTUTRI-1536,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,1536,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Aotus trivirgatus (1536),Aotus trivirgatus,Aotus trivirgatus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-AOTUTRI-K197,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,K197,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Aotus trivirgatus (K197),Aotus trivirgatus,Aotus trivirgatus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-AOTUTRI-888,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,888,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Aotus trivirgatus (888),Aotus trivirgatus,Aotus trivirgatus,,FALSE,matched,,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-AOTUTRI-1535,specimen,historical_biological_specimen,public,PUB_MACLEOD_2003,,1535,,Hirnforschung / Stephan-Zilles shared collection,MacLeod_etal_2003,MacLeod_etal_2003_Table2,Aotus trivirgatus (1535),Aotus trivirgatus,Aotus trivirgatus,,FALSE,matched,F,Printed specimen row in MacLeod etal 2003 Table2; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-GORILLA-1001,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,1001,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Gorilla gorilla (1001),Gorilla gorilla,Gorilla gorilla,,FALSE,matched,,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-PANTRO-A280,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,A280,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Pan troglodytes (A280),Pan troglodytes,Pan troglodytes,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-PANTRO-A-278,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,A 278,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Pan troglodytes (A 278),Pan troglodytes,Pan troglodytes,,FALSE,matched,F,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-PANTRO-3549,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,3549,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Pan troglodytes (3549),Pan troglodytes,Pan troglodytes,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-UNKNOWN-2436,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,2436,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,gibbon (2436),,,,FALSE,matched,,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-UNKNOWN-1547,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,1547,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,gibbon (1547),,,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-UNKNOWN-3539,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,3539,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,gibbon (3539),,,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-139-95,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,139/95,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Homo sapiens (139/95),Homo sapiens,Homo sapiens,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-H9-88,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,H9/88,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Homo sapiens (H9/88),Homo sapiens,Homo sapiens,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
ZILLES-HOMO-SN382-81,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,SN382/81,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Homo sapiens (SN382/81),Homo sapiens,Homo sapiens,,FALSE,matched,F,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-SN71-84,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,SN71/84,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Homo sapiens (SN71/84),Homo sapiens,Homo sapiens,,FALSE,matched,F,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-14-94,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,14/94,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Homo sapiens (14/94),Homo sapiens,Homo sapiens,,FALSE,matched,F,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-SN-146-86,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,SN 146/86,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Homo sapiens (SN 146/86),Homo sapiens,Homo sapiens,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-SN-201-86,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,SN 201/86,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Homo sapiens (SN 201/86),Homo sapiens,Homo sapiens,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-HOMO-SN-503-81,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,SN 503/81,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Homo sapiens (SN 503/81),Homo sapiens,Homo sapiens,,FALSE,matched,F,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-ERYTHROCEBUS-1545,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,1545,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Erythrocebus patas (1545),Erythrocebus patas,Erythrocebus patas,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-MACACA-516,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,516,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Macaca mulatta (516),Macaca mulatta,Macaca mulatta,,FALSE,matched,F,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-MACACA-R4,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,R4,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Macaca mulatta (R4),Macaca mulatta,Macaca mulatta,,FALSE,matched,,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-CERCOPITHECUS-CERC-S,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,CERC. S,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Cercopithecus sp. (CERC. S),Cercopithecus sp.,,,FALSE,matched,,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-CERCOPITHECUS-CERC-CER,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,CERC. CER,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Cercopithecus sp. (CERC. CER),Cercopithecus sp.,,,FALSE,matched,,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
HIRN-CERCALB-A221,specimen,historical_biological_specimen,public,PUB_MACLEOD_2000,,A221,,Hirnforschung / Stephan-Zilles shared collection,MacLeod__2000,MacLeod__2000_APPENDIXI,Cercocebus albigena (A221),Cercocebus albigena,Cercocebus albigena,,FALSE,matched,M,Printed specimen row in MacLeod  2000 APPENDIXI; identifier is the accession/catalog code printed by the source. Registered from the published table; no private evidence used.
